Proteins,ECC,GO,SubCell
YMR012W,5.332119098,245.75,140.5
YDL130W,68.68641889,19.06666667,0
YPR110C,11.46081534,112.6166667,0
YDR296W,16.20165068,77.21111111,0
YBR251W,13.97425254,87.66666667,0
YPL173W,24.04886406,50.16666667,0
YMR286W,24.04886406,50.16666667,0
YBR268W,24.04886406,50.16666667,0
YDL192W,5.455002249,221,0
YDL202W,23.8160928,50.16666667,0
YJL096W,23.60308032,50.16666667,0
YMR188C,15.8138033,74.83333333,0
YPL183WA,18.82273995,62.83333333,0
YPR019W,14.77947489,51.02554113,80
YBR253W,7.358486521,160.5,24
YMR229C,7.252017046,161.7027778,0
YLR274W,14.40402034,66.50396446,80
YPR134W,10.3414787,107.3333333,0
YGL112C,8.659463459,128.1764874,0
YBL003C,6.611224346,166.8666667,2
YHR143WA,13.23731273,82.08888889,0
YPR036W,10.30371148,104,0
YBR278W,12.27011034,85.22857143,0
YJL140W,7.059565528,148.1059524,36
YMR125W,7.732225882,135.1944444,34
YDL208W,5.53160915,187.8666667,162
YNL207W,8.01259731,129.5,0
YLR421C,7.267705017,141.9333333,2.25
YMR128W,8.177274777,124.4428655,0
YDR429C,5.578164805,106.125,176.5
YJR007W,8.651963354,112.1071429,0
YDR175C,12.97419827,74,10
YBL090W,15.14171215,62.16666667,0
YIL093C,10.62377508,88,0
YJR042W,3.718348899,39.92857143,250
YML098W,6.210087121,149.3333333,36
YNL262W,12.08650478,75.93078211,0
YKR036C,8.755203225,102.4166667,0
YDR443C,7.243865816,123.25,22
YBR198C,7.104150333,124.25,62
YPL011C,6.803911157,129.25,0
YHL004W,10.2789916,85.5,0
YPL013C,14.68417367,59.83333333,0
YDR347W,15.2465375,57.33333333,0
YLR449W,5.411716134,161.0714286,0
YCR035C,6.622952602,59.0984127,130.5
YPL234C,10.24598383,84.35,0
YJL133W,10.39615385,81.16666667,0
YMR158W,13.00243299,64.83333333,0
YBR127C,10.33212213,81.3482684,0
YOR116C,12.13592234,68.98055556,0
YPL237W,7.5603927,110.3373377,0
YDR298C,10.54114888,78.66666667,0
YKL016C,10.54114888,78.66666667,2
YGR158C,6.233259017,57.26904762,132.5
YHR118C,15.51805196,52.56555024,0
YPR010C,10.14455992,80.1734127,0
YNL137C,14.43743857,56.25,0
YJR122W,6.332748049,126.6666667,0
YKR052C,10.26428571,78.08333333,0
YNL261W,15.16034445,52.56555024,0
YLL004W,15.16034445,52.56555024,0
YML015C,6.304305678,126.25,0
YMR236W,6.715558339,114.4444444,44
YOR207C,11.58963805,66.23134921,0
